UTC	Lat	Long	P	T	Hu	Ws	Wd	Alt	D	Rs
20:36:37	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:38	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:39	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:40	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:41	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:42	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:43	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:44	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:45	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:46	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:47	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:48	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:49	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:50	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:51	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:52	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:53	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:54	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:55	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:56	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:57	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:58	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:36:59	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:00	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:01	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:02	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:03	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:04	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:05	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:06	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:07	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:08	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:09	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:10	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:11	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:12	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:13	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:14	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:15	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:16	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:17	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:18	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:19	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:20	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:21	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:22	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:23	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:24	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:25	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:26	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:27	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:28	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:29	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:30	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:31	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:32	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:33	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:34	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:35	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:36	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:37	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:38	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:39	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:40	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:41	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:42	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:43	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:44	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:45	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:46	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:47	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:48	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:49	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:50	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:51	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:52	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:53	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:54	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:55	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:56	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:57	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:58	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:37:59	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:00	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:01	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:02	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:03	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:04	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:05	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:06	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:07	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:08	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:09	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:10	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:11	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:12	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:13	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:14	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:15	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:16	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:17	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:18	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:19	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:20	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:21	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:22	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:23	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:24	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:25	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:26	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:27	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:28	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:29	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:30	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:31	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:32	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:33	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:34	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:35	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:36	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:37	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:38	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:39	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:40	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:41	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:42	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
20:38:43	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9	-999.9
